symbol,name,type,currency,inception_date,sector,industry
FISV,Fiserv,COMPANY,USD,2001-04-02,Information Technology,Data Processing & Outsourced Services
FITB,Fifth Third Bancorp,COMPANY,USD,,Financials,Regional Banks
FLT,Fleetcor,COMPANY,USD,2018-06-20,Information Technology,Data Processing & Outsourced Services
FMC,FMC Corporation,COMPANY,USD,2009-08-19,Materials,Fertilizers & Agricultural Chemicals
FOX,Fox Corporation (Class B),COMPANY,USD,2015-09-18,Communication Services,Movies & Entertainment
FOXA,Fox Corporation (Class A),COMPANY,USD,2013-07-01,Communication Services,Movies & Entertainment
FRC,First Republic Bank,COMPANY,USD,2019-01-02,Financials,Regional Banks
FRT,Federal Realty Investment Trust,COMPANY,USD,2016-02-01,Real Estate,Retail REITs
FTNT,Fortinet,COMPANY,USD,2018-10-11,Information Technology,Systems Software
FTV,Fortive,COMPANY,USD,2016-07-01,Industrials,Industrial Machinery
GD,General Dynamics,COMPANY,USD,1957-03-04,Industrials,Aerospace & Defense
GE,General Electric,COMPANY,USD,,Industrials,Industrial Conglomerates
GILD,Gilead Sciences,COMPANY,USD,2004-07-01,Health Care,Biotechnology
GIS,General Mills,COMPANY,USD,1969-03-31,Consumer Staples,Packaged Foods & Meats
GL,Globe Life,COMPANY,USD,1989-04-30,Financials,Life & Health Insurance
GLW,Corning,COMPANY,USD,,Information Technology,Electronic Components
GM,General Motors,COMPANY,USD,2013-06-06,Consumer Discretionary,Automobile Manufacturers
GNRC,Generac Holdings,COMPANY,USD,2021-03-22,Industrials,Electrical Components & Equipment
GOOG,Alphabet (Class C),COMPANY,USD,2006-04-03,Communication Services,Interactive Media & Services
GOOGL,Alphabet (Class A),COMPANY,USD,2014-04-03,Communication Services,Interactive Media & Services
GPC,Genuine Parts,COMPANY,USD,1973-12-31,Consumer Discretionary,Specialty Stores
GPN,Global Payments,COMPANY,USD,2016-04-25,Information Technology,Data Processing & Outsourced Services
GPS,Gap,COMPANY,USD,1986-08-31,Consumer Discretionary,Apparel Retail
GRMN,Garmin,COMPANY,USD,2012-12-12,Consumer Discretionary,Consumer Electronics
GS,Goldman Sachs,COMPANY,USD,2002-07-22,Financials,Investment Banking & Brokerage
GWW,WW Grainger,COMPANY,USD,1981-06-30,Industrials,Industrial Machinery
HAL,Halliburton,COMPANY,USD,1957-03-04,Energy,Oil & Gas Equipment & Services
HAS,Hasbro,COMPANY,USD,1984-09-30,Consumer Discretionary,Leisure Products
HBAN,Huntington Bancshares,COMPANY,USD,,Financials,Regional Banks
HBI,Hanesbrands,COMPANY,USD,2015-03-20,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
HCA,HCA Healthcare,COMPANY,USD,2015-01-27,Health Care,Health Care Facilities
HD,Home Depot,COMPANY,USD,1988-03-31,Consumer Discretionary,Home Improvement Retail
HES,Hess Corporation,COMPANY,USD,1984-05-31,Energy,Integrated Oil & Gas
HIG,The Hartford,COMPANY,USD,1957-03-04,Financials,Property & Casualty Insurance
HII,Huntington Ingalls Industries,COMPANY,USD,2018-01-03,Industrials,Aerospace & Defense
